Activation,Size (B),Last Fwd Use,First Bwd Use,Idle Gap,Recomp Ops,Recomp (ms)
getitem_1,256,N/A,cudnn_batch_norm_backward_154,-1,1,2.7088
getitem_2,256,N/A,cudnn_batch_norm_backward_154,-1,1,2.7088
getitem_3,0,N/A,cudnn_batch_norm_backward_154,-1,1,2.7088
getitem_5,102760448,N/A,max_pool2d_with_indices_backward,-1,1,1.6698
getitem_7,256,N/A,cudnn_batch_norm_backward_153,-1,1,0.6175
getitem_8,256,N/A,cudnn_batch_norm_backward_153,-1,1,0.6175
getitem_9,0,N/A,cudnn_batch_norm_backward_153,-1,1,0.6175
getitem_11,256,N/A,cudnn_batch_norm_backward_152,-1,1,0.6154
getitem_12,256,N/A,cudnn_batch_norm_backward_152,-1,1,0.6154
getitem_13,0,N/A,cudnn_batch_norm_backward_152,-1,1,0.6154
getitem_15,1024,N/A,cudnn_batch_norm_backward_151,-1,1,2.7631
getitem_16,1024,N/A,cudnn_batch_norm_backward_151,-1,1,2.7631
getitem_17,0,N/A,cudnn_batch_norm_backward_151,-1,1,2.7631
getitem_19,1024,N/A,cudnn_batch_norm_backward_150,-1,1,2.7662
getitem_20,1024,N/A,cudnn_batch_norm_backward_150,-1,1,2.7662
getitem_21,0,N/A,cudnn_batch_norm_backward_150,-1,1,2.7662
getitem_23,256,N/A,cudnn_batch_norm_backward_149,-1,1,0.5966
getitem_24,256,N/A,cudnn_batch_norm_backward_149,-1,1,0.5966
getitem_25,0,N/A,cudnn_batch_norm_backward_149,-1,1,0.5966
getitem_27,256,N/A,cudnn_batch_norm_backward_148,-1,1,0.6014
getitem_28,256,N/A,cudnn_batch_norm_backward_148,-1,1,0.6014
